fiber ra dec sky row r "r group" Z t V sigma dV dsigma
52 0.0 0.0 0 47 0.0 12 0.08265530967696767 9.558344105460305 -82.04412285281755 255.4970228965568 1.159663802293001 1.144713273172949
31 0.0 -5.63 0 27 5.63 4 0.03990493773732851 9.811553094744127 -189.77957802029383 129.29418844162063 0.8973448824970283 1.6006484073592675
47 0.0 5.63 0 42 5.63 4 0.11652489335921931 10.401857364025657 -82.97019295529002 214.62878542423343 1.1751323240058653 1.1547433792013313
26 4.93 2.81 0 22 5.67459249638 4 0.0019373829083130976 10.68839040953063 8.471175557417057 196.65681204227874 0.5188626767080602 0.540714446579258
43 -4.93 2.81 0 38 5.67459249638 4 0.061150903370888826 9.627954458020753 -145.20734322095433 194.5729431069114 1.370643302000589 2.0663436835221143
46 4.93 -2.81 0 41 5.67459249638 4 -0.0714852335139308 10.518894687436381 -32.69494621378945 124.17946803664279 0.9857050609004824 1.6569899865804074
66 -4.93 -2.81 0 60 5.67459249638 4 -0.014016345376046848 9.29397239224532 -173.19400395724347 225.56947764273355 2.223425151227614 2.3379893685129716
25 4.93 -8.44 0 21 9.77437977572 3 nan nan nan nan nan nan
41 4.93 8.44 0 36 9.77437977572 3 -0.027296448865868586 9.350242632370646 -31.353920105614165 197.0721024159463 1.2082311724741686 1.5906240349445486
51 -4.93 -8.44 0 46 9.77437977572 3 -0.008370447405089885 9.453647068141349 -226.13776542188276 179.4546168879305 2.649496253140134 1.7794532195239579
62 -4.93 8.44 0 56 9.77437977572 3 -0.025882622835891378 8.890756573900394 -216.482834744593 214.25913885151905 4.421638280080926 4.821435892573872
1 9.85 0.0 0 0 9.85 3 -0.7658507917372025 9.287907232804546 -292.01824725974785 407.47104133803913 8.197157051488784 7.85443626349907
45 -9.85 0.0 0 40 9.85 3 0.10259837843714402 4.472439646905678 404.0906147295112 1000.0 8.77588543372481 0.0
44 0.0 11.26 0 39 11.26 11 0.1128258942852233 7.183232074268048 15.901135347455613 160.05291155821976 0.6534778005801837 1.5771033306572069
48 0.0 -11.26 0 43 11.26 11 0.0430480345385936 8.686071096636535 -246.22050985168894 207.32297125846964 2.209320997427145 1.9103499841906493
42 0.0 16.89 0 37 16.89 6 -0.0321026430516173 6.614363650121393 -107.85861925399573 139.1843895093785 3.5514726826136136 3.89636972607864
79 0.0 -16.89 0 72 16.89 6 0.09284141400665526 1.4660688895596399 -5.825062719238706 14.936558465259294 554.3465561609079 478.3908170003256
23 14.78 8.44 0 19 17.0200470035 6 -0.03275475115078598 9.551088896984751 136.72176702448795 282.33271625367047 3.331072410979605 3.8224626837011177
24 14.78 -8.44 0 20 17.0200470035 6 nan nan nan nan nan nan
63 -14.78 8.44 0 57 17.0200470035 6 -0.032102632902697374 6.6143679182317765 -356.61811983136823 229.33122506169263 1.2906682716205262 3.2416934506319404
64 -14.78 -8.44 0 58 17.0200470035 6 -0.01212720159341265 9.757551396108756 -403.7362691790025 100.05622500033472 1.485498539753564 2.8708419244286127
21 9.85 16.89 0 18 19.5523553568 5 -0.0343564999512528 8.506630288835954 4.137734420384369 114.88370702218135 1.864541719384749 2.996561913951817
33 9.85 -16.89 0 29 19.5523553568 5 -1.1860686414885142 1.1824168425300672 291.0543497870124 52.538505330814615 6.12796792739061 31.819698124134103
56 -9.85 16.89 0 50 19.5523553568 5 -0.3055211695640318 4.888681230738989 -56.46188400168246 336.74230484190025 12.795227072252356 5.804461136798581
71 -9.85 -16.89 0 64 19.5523553568 5 nan nan nan nan nan nan
28 19.71 0.0 0 24 19.71 5 nan nan nan nan nan nan
82 -19.71 0.0 0 74 19.71 5 -0.03179154997773676 6.915242461530737 -249.9201521843352 208.87635920586285 1.7721642525311494 5.040405750455921
18 4.93 25.33 0 15 25.805305656 0 -0.5245079280391046 8.884362016733657 -177.64990040891362 27.60913952275185 87.3359396890897 507.2057864355677
32 4.93 -25.33 0 28 25.805305656 0 -0.07808735350840304 2.8827509714200996 -1189.5927542545885 656.1517816798796 20.6982233774911 16.292823205321593
40 -4.93 25.33 0 35 25.805305656 0 -0.7888797954118251 3.906562479825239 -344.89243720492277 94.91426308921511 7.170647027686713 9.135667190043048
