fiber ra dec sky row r "r group" Z t V sigma dV dsigma V_gas dV_gas sigma_gas dsigma_gas Hdelta Hgamma Hbeta [OIII]5007d [OI]6300d reddening
52 0.0 0.0 0 47 0.0 12 0.11510345383697412 9.215242437252009 -107.19401591709276 212.8275906966883 2.090488746341598 86.6664479253249 212.8275906966883 86.6664479253249 1000.0 0.0 0.0 0.0 1.039001789085419 0.002623754005305993 1.1092828724884942 0.4078338269454592
31 0.0 -5.63 0 27 5.63 4 0.031946237600247604 10.321378050792434 -21.20484299880856 -259.4338368463708 1.3640509054742305 94.83986312509879 -259.4338368463708 94.83986312509879 1000.0 0.0 0.0 0.054028294417247866 1.247375215028873 0.012841303876613808 0.0034522162156922494 0.570125620754102
47 0.0 5.63 0 42 5.63 4 0.030739588488160677 10.009617805169752 -180.80041640683686 -333.68322514648554 2.339098911976963 159.4737103001359 -333.68322514648554 159.4737103001359 1000.0 0.0 0.0 0.01923046166189184 0.9118117702625976 0.0 0.26725075359820677 0.3783316296445396
26 4.93 2.81 0 22 5.67459249638 4 -0.019158960197978057 9.975135000218595 -122.25145942183042 -354.7769004429168 1.4546417811977923 284.2613841352686 -354.7769004429168 284.2613841352686 636.3200071745797 138.218848949165 0.0014024025110358958 0.05674952841691309 0.6085572073250716 0.0 0.0 0.16751807069458505
43 -4.93 2.81 0 38 5.67459249638 4 0.06254907206072617 9.960929703890134 -178.20350494758574 -511.603621453776 1.825065542787746 148.70076524204603 -511.603621453776 148.70076524204603 1000.0 0.0 0.0 0.0 0.7032240883818662 0.008433365808806598 0.0 0.4903197473322929
46 4.93 -2.81 0 41 5.67459249638 4 0.029219610891849022 10.828447999630004 -11.419615432556629 249.5993298349525 1.6124560335636997 105.96884353581581 249.5993298349525 105.96884353581581 1000.0 0.0 0.0 0.0 0.7109268741983222 0.0 0.15370951270624245 0.08242542501495449
66 -4.93 -2.81 0 60 5.67459249638 4 0.008536337522531509 10.723543583978882 -80.82719780751896 72.7358192029784 1.9983634081300954 104.69285391837751 72.7358192029784 104.69285391837751 1000.0 0.0 0.0 0.0 1.1472150637621041 0.0 1.4587853905590016 0.6790982881710047
25 4.93 -8.44 0 21 9.77437977572 3 0.030025000646106595 9.99158609780161 22.908242568388275 92.04936491060919 1.8970183488009449 88.59708399281611 92.04936491060919 88.59708399281611 188.99499361027438 50.07503106336848 0.0 9.67506974250494 25.622526259227115 0.4971787396102155 38.85064436120576 0.30645359934421906
41 4.93 8.44 0 36 9.77437977572 3 -0.03646025592526673 10.195244377577843 -144.6769600261862 -1262.3460217520137 2.971686792340877 0.0 -1262.3460217520137 0.0 8.162645817697088 256445793013.41547 0.08474011032151993 0.0 0.06827450918796928 0.0 0.0 0.3378454558682624
51 -4.93 -8.44 0 46 9.77437977572 3 0.02291277616991887 10.013701826876021 0.5019329906717074 -8.767667767950057 3.1249229515619015 884730.8285584854 -8.767667767950057 884730.8285584854 8.162645817697088 0.0 0.0 0.0 237198661.43271393 28304259.097152893 0.0 0.5954567563938743
