fiber ra dec sky row r "r group" Z t V sigma dV dsigma V_gas dV_gas sigma_gas dsigma_gas Hdelta Hgamma Hbeta [OIII]5007d [OI]6300d reddening
52 0.0 0.0 0 47 0.0 12 0.12860829356345063 8.438086226380525 -75.39442063207784 -1307.688287226427 2.42064068893927 95.65635375077774 -1307.688287226427 95.65635375077774 1000.0 0.0 0.0 0.03008617515284307 0.2165743892447392 0.0 1.4839989555994941 0.3055174005522851
31 0.0 -5.63 0 27 5.63 4 0.11410361804963877 9.245393455865658 -250.85960060386273 -1159.38629278233 1.9658117960267716 0.0 -1159.38629278233 0.0 8.21818564204436 1486127628889.2046 0.04735932988998352 0.0017940921059449036 0.05402174203866943 0.0 0.07918987969732826 0.23003877561618336
47 0.0 5.63 0 42 5.63 4 0.1134060796720794 9.328985553022768 59.94931616327169 -59.957685230935546 2.052648148404513 83.60243657034984 -59.957685230935546 83.60243657034984 1000.0 0.0 0.0 0.0 0.0 0.0 2.9064252287980366 0.2190163827838745
26 4.93 2.81 0 22 5.67459249638 4 0.11530301566992375 9.350694066337743 4.020295676713634 12.68332753413489 1.4177091834212192 102.47441211873159 12.68332753413489 102.47441211873159 1000.0 0.0 0.0 0.018825522160744707 0.0 0.0 2.9680745083717923 0.027627074611819298
43 -4.93 2.81 0 38 5.67459249638 4 0.09306297972523332 10.791787649449905 -108.85123895272432 -122.19262151453677 3.114932153298603 112.50269714915386 -122.19262151453677 112.50269714915386 808.9963839793215 81.32486971185357 0.0 0.0 0.0 0.0 1.465055552858475 0.01159300029569141
46 4.93 -2.81 0 41 5.67459249638 4 0.08676514904441301 9.536525058737347 -149.234959408594 -2158.183732207165 2.96729334648193 0.0 -2158.183732207165 0.0 1000.0 0.0 0.0 0.09895398994554627 0.4008508286878218 0.3394446017658469 0.0230366109721134 0.06615958510945358
66 -4.93 -2.81 0 60 5.67459249638 4 0.04715907861952967 10.415210321928255 -122.15095824223108 -618.3984983479066 2.0070980743270788 177.74302877479624 -618.3984983479066 177.74302877479624 909.645166057656 94.74214494392459 0.09296468467386317 0.028294882700599717 0.1842500708073943 0.0 0.627505318042889 0.23015557641479922
25 4.93 -8.44 0 21 9.77437977572 3 0.09336936352006833 9.773012712606036 -283.17907261205954 -2284.4560998849925 1.4425733531010658 0.0 -2284.4560998849925 0.0 1000.0 0.0 0.030447481908681767 0.08185813162886692 0.03424893279003401 0.058584461937248915 0.0 0.08021181616173706
41 4.93 8.44 0 36 9.77437977572 3 0.09182051664938178 9.38205159955023 143.46275842401988 -231.19903191186094 2.9207691547218446 136.9070800813138 -231.19903191186094 136.9070800813138 845.4411440124753 114.15739956267284 0.0 0.08595705390703226 0.0011191217787216462 0.0 1.1418051112312662 0.1668924928257565
51 -4.93 -8.44 0 46 9.77437977572 3 -0.015982338108651975 10.399002038364266 -120.4905543315743 -1419.1317793835422 3.5131815681765515 323.277606905261 -1419.1317793835422 323.277606905261 598.5955077843148 200.32452775902672 0.14407719727969115 0.0 0.0 0.0 0.4562516190470302 0.047529214750018985
62 -4.93 8.44 0 56 9.77437977572 3 0.07002345726440559 9.05348524188588 14.637179403713606 -1969.3385710171626 3.90144932549666 0.0 -1969.3385710171626 0.0 1000.0 0.0 0.0 0.046852222309472245 0.148196536718638 0.0 0.05520742977999705 0.47724979750610647
1 9.85 0.0 0 0 9.85 3 0.007666838800215193 9.266519917815096 -220.35342885956783 -1754.2378439445308 5.658752328602484 93.76728673521815 -1754.2378439445308 93.76728673521815 456.8653598438968 65.72300869563551 0.0 0.2667717500859307 0.07361092535366938 0.01381537142884589 0.4431701339664896 0.6344601062504603
45 -9.85 0.0 0 40 9.85 3 0.007206470047856036 5.07844306092299 98.12643808567464 -1769.5065264088819 9.355757115915335 0.0 -1769.5065264088819 0.0 1000.0 0.0 2.462191232448891 0.5075250695278083 0.2737092344150673 0.3226126949387101 0.0 1.3273394177795885
44 0.0 11.26 0 39 11.26 11 0.08599679798220883 9.890966423779743 133.2332474071356 18.686410356488675 1.1127094771585913 73.954288889025 18.686410356488675 73.954288889025 776.3877259048838 128.39241248225153 0.0 0.0 0.0 0.0 1.859708971136028 0.13109964801553542
