fiber ra dec sky row r "r group" Z t V sigma dV dsigma
52 0.0 0.0 0 47 0.0 12 -0.008626475900389443 9.05976546541237 -119.50403520739327 282.5371040319566 3.608342249656915 2.1975869218806423
31 0.0 -5.63 0 27 5.63 4 0.0087196424223081 9.674134366362761 -45.57264609189032 247.91531063191107 1.9943589254182406 1.180879896603448
47 0.0 5.63 0 42 5.63 4 0.04043148769017561 10.208335103082224 -282.79438213243156 267.36513540466376 2.155220685573072 1.5383988491638947
26 4.93 2.81 0 22 5.67459249638 4 0.06974348140817582 10.011467761443187 -177.62609188404355 254.88116085550652 1.0270267812552996 1.2064937322656206
43 -4.93 2.81 0 38 5.67459249638 4 0.008699240747239146 9.454896756388072 -182.6967360658698 265.9825985117519 2.171213802502506 2.393529576854471
46 4.93 -2.81 0 41 5.67459249638 4 0.013829534784980608 9.891933023744668 -85.92578647152624 230.71791233975912 1.4300909696488058 2.1367822988575043
66 -4.93 -2.81 0 60 5.67459249638 4 -0.0031501200421997794 9.142577775189029 -111.92561307391337 291.49627166425245 2.7964979325156967 2.1929140953386637
25 4.93 -8.44 0 21 9.77437977572 3 0.007659696863994272 9.316616308751135 -71.67453738774216 181.25345152004033 1.4430887074426109 1.3318124099678574
41 4.93 8.44 0 36 9.77437977572 3 0.014432434261912071 9.578848626063335 -250.99843139412206 214.9791995463168 1.4903072364027254 2.257743968462794
51 -4.93 -8.44 0 46 9.77437977572 3 0.017203201088548573 8.406597740184457 -44.77418308776858 210.90190208072843 1.1917121036228175 1.252079399930413
62 -4.93 8.44 0 56 9.77437977572 3 -0.020838722220602176 9.180946358608699 -254.2573426787052 273.8308407422528 2.307174426492446 2.241111231897832
1 9.85 0.0 0 0 9.85 3 -0.12452791083415138 9.104143388342116 -101.00950779193462 243.67827488801493 2.881398712503457 2.4664070340557243
45 -9.85 0.0 0 40 9.85 3 -0.04235340682540535 9.54616707123509 -198.86347860022533 172.2210332987402 0.9448093678389996 1.2240328180290392
44 0.0 11.26 0 39 11.26 11 -0.0042651555690779025 9.93161593826577 -275.2106448511345 217.86971300053116 1.937610162164954 2.5763722967027913
48 0.0 -11.26 0 43 11.26 11 -0.004037362858710557 9.787271512915312 -23.05675858609863 199.93819193379252 1.4297630323773094 1.3049277400660644
42 0.0 16.89 0 37 16.89 6 0.016239462667911368 8.679377894868718 -237.422974544036 330.8845860941042 3.133073770105971 2.3803149495350575
79 0.0 -16.89 0 72 16.89 6 0.0001051705589502568 8.522031119828744 -129.71125990767158 322.0239792999238 2.343786379837047 2.1856270291988444
23 14.78 8.44 0 19 17.0200470035 6 -0.018175646931599617 10.485120517851527 -197.5916228371496 161.5513059636463 1.5219740069701044 2.730127658649716
24 14.78 -8.44 0 20 17.0200470035 6 -0.017368076418205012 10.422136073095947 -88.22213951816296 236.88947644449883 2.6022957553389254 2.480419203681441
63 -14.78 8.44 0 57 17.0200470035 6 -0.020772773346512483 9.66887316590644 -166.07470609285477 372.00017558521574 1.9736044767262781 3.013248061895542
64 -14.78 -8.44 0 58 17.0200470035 6 -0.01227794075683859 9.772971505539056 61.92440357891943 413.8558569736489 5.087531598564381 6.722317629872229
21 9.85 16.89 0 18 19.5523553568 5 0.0004545558375909206 10.429462463515124 -51.88169997037638 237.24518346215447 1.878111689864714 2.9222979044694397
33 9.85 -16.89 0 29 19.5523553568 5 -0.08564236875178478 10.235529869517496 -102.99741060367418 174.96738284511093 2.2422337690304364 2.781837823302945
56 -9.85 16.89 0 50 19.5523553568 5 0.01255707983754207 10.318066154649149 -13.150113269806736 378.56652995016316 4.270843692186757 3.6902511216101312
71 -9.85 -16.89 0 64 19.5523553568 5 -0.06886466041740294 9.103616490538519 110.11626270219914 313.954664923631 3.633298840665465 4.319060536024896
28 19.71 0.0 0 24 19.71 5 -0.06393003763273114 10.303603541786172 35.46869247225324 188.66991406863926 2.5269753927056975 2.002091268778972
82 -19.71 0.0 0 74 19.71 5 -0.027807053898295474 8.634078512215408 -119.40449434073344 428.44516524346125 8.439269151847403 5.6506493283407275
18 4.93 25.33 0 15 25.805305656 0 -0.14889847787435187 10.085935930480067 -292.786309218277 57.82170460999985 1.464675790775843 3.1738774283797513
32 4.93 -25.33 0 28 25.805305656 0 -0.015975409344012023 9.562713352795363 -99.30551959151512 153.16728233393144 3.5179097286017162 4.0946150845854445
40 -4.93 25.33 0 35 25.805305656 0 0.011556165609177046 10.101196199314113 -190.67781325102504 96.63740697851301 2.040933785640001 2.4182835076277813
49 -4.93 -25.33 0 44 25.805305656 0 0.0005842097054627458 9.118203086596571 204.20779791544368 738.3009035949977 10.233572253167589 11.799095971258614
15 24.49 -8.44 0 13 25.9035460893 0 -0.02246020511015665 3.5988577682639775 -255.83078535703828 215.54742853991314 1.767110960962935 2.7925165862053514
27 19.71 16.89 0 23 25.9568141342 0 -0.030247217828636083 8.491162669294864 -148.96059365526799 387.9527915898954 3.316845406918877 3.8740917059938784
30 19.71 -16.89 0 26 25.9568141342 0 0.01509399624230722 6.813265383181504 -380.28323465397267 838.9864775916268 6.632836013594738 7.087017399817272
60 -19.71 16.89 0 54 25.9568141342 0 -0.08520450249612127 6.899994888854431 -104.23318991236857 190.852836026526 4.253600616817611 4.833543122869129
68 -19.71 -16.89 0 62 25.9568141342 0 0.11010770562865302 4.736936717297696 10.602167274028659 192.4846201020867 2.8904961061796888 3.6112031136930214
4 24.64 8.44 0 2 26.0454065048 0 -0.6375207299913643 7.982738625659481 -347.74047781711556 267.9097031408363 4.68117608327586 5.256027787242198
61 -24.64 -8.44 0 55 26.0454065048 0 -0.7507116794869529 2.2535156762335298 -438.2462353222343 520.3282434797313 7.2039279486042345 12.663853963218859
65 -24.64 8.44 0 59 26.0454065048 0 -0.033262423851466986 8.829304339879458 33.75935663479111 299.08209077259573 5.821824845096772 4.780506679801303
20 14.78 25.33 0 17 29.3267335378 7 -0.11604857570220954 4.962042564406608 -385.01840678456944 435.93390446272986 9.189414036944532 10.302991600631946
34 14.78 -25.33 0 30 29.3267335378 7 -0.08626039590355958 9.126248736660147 -171.09783175726375 8.366350818791958 10643849.72969575 1398802.101116183
58 -14.78 25.33 0 52 29.3267335378 7 0.00029924725364882475 9.425152253498483 -104.0482751278262 155.18704251343513 1.555801370233089 2.3782645935520206
67 -14.78 -25.33 0 61 29.3267335378 7 -0.03010480456906943 4.986624911703508 -193.45821841758274 554.3648518041657 12.481133185175826 10.308484882985786
8 29.56 0.0 0 6 29.56 7 0.038987104372812165 9.469230523730143 -66.9051456002808 789.520099245116 19.406970638932542 16.45497793345183
73 -29.56 0.0 0 66 29.56 7 -0.7566688016223889 8.457352350643587 -176.33137960381552 375.53857648307866 11.98356820995597 12.205317744539803
38 0.0 33.77 0 33 33.77 2 -0.08505251128023489 5.896417439227521 -225.92811176131227 227.0071213403038 3.3476296010399182 5.506807121320101
53 0.0 -33.77 0 48 33.77 2 -0.012692888396371832 8.785914737267397 323.9592499828721 421.94206299223873 9.853061745957369 10.751999309584166
5 29.56 16.89 0 3 34.0450539726 2 -0.3797786462680946 4.601630132758939 -168.5480190396825 367.714769487944 7.952407986402766 8.38470362269642
14 29.56 -16.89 0 12 34.0450539726 2 -0.05700906598153239 7.0543291045835 -166.40767838564201 572.8054826820846 10.798018579399294 9.078334516768475
75 -29.56 16.89 0 68 34.0450539726 2 -0.005525815931335726 4.616573030861905 -7.1492521030604745 331.44925155849313 8.840548706753236 13.31373854146915
77 -29.56 -16.89 0 70 34.0450539726 2 -0.7488569131016206 2.7267895416920247 -141.64058116667448 8.218185646169438 0.0 1556359263285.8018
19 9.85 33.77 0 16 35.1772000023 1 -0.03904112442073336 9.437316714866856 -942.0209677219937 652.5671324523065 14.028957124552523 13.724359812179294
29 9.85 -33.77 0 25 35.1772000023 1 -0.025055195136998075 7.955745242957778 12.854692484940328 175.84325805050375 3.2613191597265314 3.7821440876555914
39 -9.85 33.77 0 34 35.1772000023 1 -0.004609181611181523 8.305046439112033 -252.17404881576672 17.4415730958124 108.79739788464455 83.79301895194057
50 -9.85 -33.77 0 45 35.1772000023 1 0.016930936773264706 9.573306958030887 -260.02585646577086 9.575394458159302 13.862851674890827 27.73378181748315
7 24.64 25.33 0 5 35.3374942519 1 -0.17239224071164705 8.910079354414256 -73.7467150511235 222.8012310757271 4.408637028322379 6.190103891210878
