fiber ra dec sky row r "r group" Z t V sigma dV dsigma
52 0.0 0.0 0 47 0.0 12 0.02494079642670899 9.053384007134088 -33.02685328621726 300.5891438820044 2.312324479887134 1.6340411887758755
31 0.0 -5.63 0 27 5.63 4 0.035351191918450924 9.888353532090969 -101.13145991591863 350.7121319954271 1.9747379917516112 2.2659259979919275
47 0.0 5.63 0 42 5.63 4 0.06753506502672206 9.814500850239854 -25.466251761263155 297.4145796190464 2.037492788191767 1.6712858994379813
26 4.93 2.81 0 22 5.67459249638 4 0.004738102039929281 9.416929928204985 -13.293957308982186 271.84482608253717 2.359171179672125 2.917300309731753
43 -4.93 2.81 0 38 5.67459249638 4 0.0021404727858096496 6.404054498429947 -1793.8494585404137 1000.0 23.397515266795317 0.0
46 4.93 -2.81 0 41 5.67459249638 4 0.03455179609608682 9.346768472447632 -12.379504945935642 348.23580400423134 1.9243195976983485 2.508256513236815
66 -4.93 -2.81 0 60 5.67459249638 4 0.01773249585765864 9.270537444237107 -151.21692697771562 325.35573877226165 1.4207707311585347 1.3820323971696833
25 4.93 -8.44 0 21 9.77437977572 3 -0.031105433427519164 8.029937694824058 -80.3797754257101 327.99324044166525 2.3804204136300053 3.0161107513755843
41 4.93 8.44 0 36 9.77437977572 3 0.012931799084672844 8.700519093666713 27.0820330406291 1000.0 7.08871764125475 0.0
51 -4.93 -8.44 0 46 9.77437977572 3 0.00877622459415703 9.50377109893083 -151.13480722504153 402.6411894424092 2.7551740367937256 2.8394083647195867
62 -4.93 8.44 0 56 9.77437977572 3 -0.10618198349449862 9.84164972343424 -197.02587536509054 390.49790680061864 3.4133012676877517 2.355619648344291
1 9.85 0.0 0 0 9.85 3 -0.04976441719675293 9.34432229912405 -60.36105139917815 300.4214472752971 2.4364275991837614 2.9683677267718953
45 -9.85 0.0 0 40 9.85 3 0.058484126889009294 9.2540514346654 -177.889289628669 628.2274082057487 3.848067858968172 4.030096425557539
44 0.0 11.26 0 39 11.26 11 -0.03917635447679006 8.132317903226564 -54.60099523261883 196.37273050805135 2.827382284144492 4.099737717725711
48 0.0 -11.26 0 43 11.26 11 -0.3342459486702439 8.169164244944778 -104.04927012468858 395.48867828508907 3.5812888552729216 2.43454093556839
42 0.0 16.89 0 37 16.89 6 -0.03537766961298922 3.0878738704825035 352.24879797188146 958.7377504009199 8.128229856908463 8.488668068893826
79 0.0 -16.89 0 72 16.89 6 -0.15546404556691581 8.395583945947617 -209.95216503584692 531.2100213063289 8.312288698977364 9.493308780212487
23 14.78 8.44 0 19 17.0200470035 6 -0.7488370500119947 2.739453754940711 2000.0 999.9966451855679 0.0 50485.50046248683
24 14.78 -8.44 0 20 17.0200470035 6 -0.7488370500119959 2.7394537549407123 -230.1066057161997 8.218230034356127 0.0 168.80017926186042
63 -14.78 8.44 0 57 17.0200470035 6 -0.10373694278593054 9.189268835916948 -138.83982037435405 265.2739888742023 1.6625158324507534 3.193923877662312
64 -14.78 -8.44 0 58 17.0200470035 6 -0.19318291012618297 9.848237970554566 -283.84643099350154 413.43915614510917 4.33798756806993 3.8861823190234714
21 9.85 16.89 0 18 19.5523553568 5 -1.71 1.0 2000.0 999.9997340992434 19973.729441795498 44474.975227404284
33 9.85 -16.89 0 29 19.5523553568 5 -1.614479032403135 1.0271117938303653 -22.41468667821345 8.218185642043743 0.0 179728720220.04904
56 -9.85 16.89 0 50 19.5523553568 5 -1.1915937921047437 1.1077024983128152 1664.8834059021788 954.4671599892463 9.681640288224772 19.879575415389567
71 -9.85 -16.89 0 64 19.5523553568 5 -1.0511019691028354 1.1459838991041145 1464.195934785742 994.5402198408846 18.90426004705792 23.494200371802805
28 19.71 0.0 0 24 19.71 5 -0.08307737508994939 7.104921729217647 -74.63565069358226 159.95941384562715 2.1869107223960844 4.076470763427049
82 -19.71 0.0 0 74 19.71 5 -0.7091860323591365 1.878129258206735 -1994.9891898257754 16.881740678393946 105925.94728021782 33446.747876789654
18 4.93 25.33 0 15 25.805305656 0 nan nan nan nan nan nan
32 4.93 -25.33 0 28 25.805305656 0 -1.705443726121646 2.5459403354410033 77.44865237780742 350.57644910974955 408.023356592046 334.89208321538644
40 -4.93 25.33 0 35 25.805305656 0 -1.6150942137327462 1.0175662774850232 138.98695157049727 8.218185642043743 0.0 1701000132784.8713
49 -4.93 -25.33 0 44 25.805305656 0 -0.4925833774051629 8.555775558074918 -3.238968452861257 273.8358582782123 4.87482855389641 3.6703928321860055
15 24.49 -8.44 0 13 25.9035460893 0 0.12223895029897042 3.4443452267905106 -77.23451576913016 16.039514315750257 607.217270082254 745.4525070724617
27 19.71 16.89 0 23 25.9568141342 0 -1.3258211654757484 11.403859480446785 1862.1358020808034 39.54318093850266 880.0139552428024 1818.643182238567
30 19.71 -16.89 0 26 25.9568141342 0 nan nan nan nan nan nan
60 -19.71 16.89 0 54 25.9568141342 0 -1.5654718176300355 9.761344104475352 2255.125196296501 8.218185642043743 40852879678.09006 0.0
68 -19.71 -16.89 0 62 25.9568141342 0 -1.204469924939464 1.0980484393506225 1960.8761300200433 1000.0 62.20275978334677 0.0
4 24.64 8.44 0 2 26.0454065048 0 0.068227813004305 2.8675593443895164 -2037.8339363311793 986.2757968903801 11.300742432411337 17.46086085001923
61 -24.64 -8.44 0 55 26.0454065048 0 -0.7488370500119957 2.7394537549407154 0.0 8.218185642043743 0.0 0.0
65 -24.64 8.44 0 59 26.0454065048 0 -0.748837050011996 2.7394537549407127 -2000.0 8.218185642043743 0.0 0.0
20 14.78 25.33 0 17 29.3267335378 7 -1.5639283163732778 1.05417762548572 648.5666466227574 1000.0 30.41020834664782 0.0
