fiber ra dec sky row r "r group" Z t V sigma dV dsigma V_gas dV_gas sigma_gas dsigma_gas Hdelta Hgamma Hbeta [OIII]5007d [OI]6300d reddening
33 9.85 -16.89 0 29 19.5523553568 5 -0.4531763579258486 3.319358748949172 -75.4769461037285 -21.466759802742544 4.607812431448435 31.900628485351113 -21.466759802742544 31.900628485351113 221.5031184927997 69.683496075902 26.73981273699645 15.631201285650162 0.0 0.0 113.66453993735689 0.0
56 -9.85 16.89 0 50 19.5523553568 5 -0.33451572714021893 6.691866965173526 -163.68944191159144 945.7308903333004 12.977857950226118 577800428306.2806 945.7308903333004 577800428306.2806 8.218185642043743 0.0 0.0 0.0 0.0 0.006367985327920279 0.0 0.6492144471536772
71 -9.85 -16.89 0 64 19.5523553568 5 -0.29123200410611166 1.7603737139158857 112.06406533418985 95.20725959986852 7.047746940626592 0.0 95.20725959986852 0.0 148.44968068277865 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 19.71 0.0 0 24 19.71 5 -0.24781989788402797 1.7789641123856694 -106.62955706657691 -274.83212425947676 42.030087652706115 153.40629309369064 -274.83212425947676 153.40629309369064 1000.0 0.0 0.29129206779712913 0.8747970804588834 0.23252807095206948 0.0 0.1807006475255132 0.16756643703428512
82 -19.71 0.0 0 74 19.71 5 -1.4148888155361479 3.218987116774126 -353.42855386636285 -2353.435038985127 240771.50958894487 0.0 -2353.435038985127 0.0 8.218185644919947 3823327211885.8164 0.15416392022475012 0.0 0.054267320196243723 0.0 0.0 0.0
18 4.93 25.33 0 15 25.805305656 0 -1.6011225608517698 1.0782872661162606 -219.79937797702723 -342.7630820825725 6.014135401872329 76.38406198440362 -342.7630820825725 76.38406198440362 1000.0 0.0 0.5399162617258334 0.526695554328612 0.20265745074076638 0.3227316171833934 0.0 0.0
32 4.93 -25.33 0 28 25.805305656 0 -0.2351609136486925 3.8158330395678113 -302.3926972004339 -302.3926972004339 0.0 0.0 -302.3926972004339 0.0 8.218185642043743 0.0 131.3025684171078 275.57839998263466 841.6538768856868 0.0 1810960804.4189827 0.0
40 -4.93 25.33 0 35 25.805305656 0 -1.0351770899831672 1.026742572587464 35.56831272557183 35.56831272557183 0.0 0.1451388300612169 35.56831272557183 0.1451388300612169 8.218185642043743 0.0 4220802.899951924 3730627.5877480907 77997680.35605806 314946558.6751781 2111369078359594.2 0.30580367758499677
49 -4.93 -25.33 0 44 25.805305656 0 -0.05336668997769384 1.0602516695543394 -62.98909726587823 -62.98909726587823 0.0 0.0 -62.98909726587823 0.0 8.2181856557853 34635281.77076675 0.0 34864.58946411659 0.0 8870417.71405299 0.0 0.1499209523486952
15 24.49 -8.44 0 13 25.9035460893 0 -0.316650741355964 5.359589340050207 -627.576323686871 1401.4781660609785 3.7268119547686402 146426053743.81702 1401.4781660609785 146426053743.81702 8.218185642043743 0.0 0.011073446450729716 0.0 0.0 0.016233827489621103 0.0 0.0
27 19.71 16.89 0 23 25.9568141342 0 -0.1914071001573156 6.108254791655433 -208.6214474913624 -290.4990297458798 4.4098183279784555 159.06202805199493 -290.4990297458798 159.06202805199493 488.16897820247493 117.87254259559937 0.0 0.6448409953448452 1.1980101360284454 0.0 0.3885643414390101 0.0
30 19.71 -16.89 0 26 25.9568141342 0 -0.17604041713591836 6.326827779098743 -80.61378906911446 -187.17398125021003 3.307869330360358 99.20305452250673 -187.17398125021003 99.20305452250673 1000.0 0.0 0.4198046803886532 0.597219435190563 0.40477265606694557 0.06914308910329516 0.19095627370830723 0.0
60 -19.71 16.89 0 54 25.9568141342 0 -0.8228898316404327 1.0295341445824115 -276.34801598312913 -296.80233567236775 284413.7442858931 91101215157.51913 -296.80233567236775 91101215157.51913 8.218185642043743 0.0 290.7188342450807 240.87285799444413 178.68618892897706 0.0 0.0 0.0
68 -19.71 -16.89 0 62 25.9568141342 0 -0.18932751649322938 2.7264301154584234 -8.49956822867551 -296.5909417622747 6.367513505211687 171.14567810222798 -296.5909417622747 171.14567810222798 1000.0 0.0 0.12253078262438878 0.07300592134875335 0.20163602056083452 0.0 0.9792433818255984 0.0
4 24.64 8.44 0 2 26.0454065048 0 -0.3644754449364021 1.0879708444084388 -4.867020773250506 98.62156716143838 8.273629837660971 165.74390635893477 98.62156716143838 165.74390635893477 642.5599528689688 140.602136630533 0.0 0.0 0.5636999884934413 0.0 0.2606123349712246 0.0
61 -24.64 -8.44 0 55 26.0454065048 0 -1.4502052031726411 1.088520401635666 -182.00609514124858 -27.39423293818323 10.210141912134109 7.776922854137214 -27.39423293818323 7.776922854137214 8.218185642043743 14.047383111691456 644142.3882397896 166402.87257586315 0.0 0.0 11997283774995.707 0.0
65 -24.64 8.44 0 59 26.0454065048 0 -1.1594410361002545 1.0291912983597233 10.44332760635539 1880.2639614652314 14.754734979058396 34683191.64907736 1880.2639614652314 34683191.64907736 8.218186614372422 10701210.275952762 0.27458765489172404 0.3370873523464934 0.0 0.01415394926099247 248419366178555.0 1.091346395010359
20 14.78 25.33 0 17 29.3267335378 7 -0.3376204969115241 9.325411573315362 -2188.402000401221 -2548.1995935390764 22.459086174876198 102.66458547108668 -2548.1995935390764 102.66458547108668 1000.0 0.0 0.5904613131790926 0.4265985332505492 0.5171123863878975 0.03322709885959347 0.023765392748026092 0.0
34 14.78 -25.33 0 30 29.3267335378 7 0.010741351325362674 6.719039785839325 -1.5967409886898718 -2.7858449536306233 39.217795881275535 0.5147712026965048 -2.7858449536306233 0.5147712026965048 24.718944147043043 0.48778910651616825 0.0 791330.0968374441 12679423.956265656 0.0 91570190912592.83 0.0
58 -14.78 25.33 0 52 29.3267335378 7 -1.2256190498935462 5.371868354509158 -50.58125092376008 -17.477693618104542 13.273175668242926 8.291216912266458 -17.477693618104542 8.291216912266458 14.300727608372027 23.230217704167462 217084.80787640138 370591.93837098137 12227594.76142923 0.0 2081710312610.0676 0.4417975628814037
67 -14.78 -25.33 0 61 29.3267335378 7 -0.022607118897438258 6.652135056228682 -154.97909393526328 1711.9291302676645 295734896506.7213 0.0 1711.9291302676645 0.0 8.218185642043743 0.0 0.0 0.013886245888879255 0.0 0.09046313974348397 0.0 0.44973458621146417
8 29.56 0.0 0 6 29.56 7 -0.19148728083145689 1.8840238194269872 -101.70859891672721 54.54567649964686 0.20846233014954624 44.27326041684251 54.54567649964686 44.27326041684251 199.68743327364558 144.06193100510322 69.11941774667588 42.225512220801996 0.0 0.0 117.09029382300956 0.5942627651247476
73 -29.56 0.0 0 66 29.56 7 -1.1051725154744891 1.0323422172618288 -297.9462052899222 -1952.9944279729664 17.909644699312906 447.47402289919955 -1952.9944279729664 447.47402289919955 913.8465591640343 396.6143566376349 0.0 0.0 0.0 0.0507316362509599 0.05655876750165574 0.0
38 0.0 33.77 0 33 33.77 2 -0.9363127042824582 1.0961105273303178 1665.6780002161145 -19.373737913631903 0.0 4311.95359292587 -19.373737913631903 4311.95359292587 260.76856392231707 901.9427857624082 5732.201013066421 1644.4653916806517 0.0 0.0 0.0 3.0744994358549977
53 0.0 -33.77 0 48 33.77 2 -0.9620901701563795 1.0334250847812587 22.137028134828476 22.137028134828476 3641066766830.8755 0.1289879753376168 22.137028134828476 0.1289879753376168 10.643895502697589 0.24727559827517598 0.0 17827693.3461292 0.0 0.0 2419117549847957.5 0.9649150265856083
5 29.56 16.89 0 3 34.0450539726 2 -1.284980532345245 1.0311031941093176 -205.21992942018323 -1039.7030857529087 9.642875725838886 0.0 -1039.7030857529087 0.0 8.218185642043743 0.0 0.0 0.0 0.0 0.009294775537746474 0.0 0.0
14 29.56 -16.89 0 12 34.0450539726 2 -0.048468245815042596 3.587054163389546 56.923200547258446 4.695700134427091 30.149390313913713 1.901923202410796 4.695700134427091 1.901923202410796 31.746889564229722 1.5631277790237368 0.0 459908.18776669214 0.0 41855144.46633886 14403402652063.955 0.014355668517487605
75 -29.56 16.89 0 68 34.0450539726 2 -0.16067240179837494 4.094180836485965 -132.5903292672292 -2168.920472115402 11.062936648749133 462461603142.4257 -2168.920472115402 462461603142.4257 8.218185643339005 50297093021.99226 0.0 0.08833014408997286 0.0 0.0 0.11686255482308656 0.0
